OBJECTID,NAME,REFERENCE,Hyperlink,GlobalID,Shape__Area,Shape__Length
1,Magilligan,UK0016613,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0016613,8054690c-272f-4cdf-8b3f-ac64cf87d0b9,7989156.98381805,41671.0698242096
2,Derryleckagh,UK0016620,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0016620,a5527e0a-f1f2-415b-beae-345dc108161b,486924.5,8369.80088544807
3,Turmennan,UK0030291,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0030291,df71a576-f97f-4ac0-864b-d62ba0a680c9,148297.886062622,3150.08510610597
4,Fardrum and Roosky Turloughs,UK0030068,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0030068,4e498b09-7b10-4353-805a-78a1189db227,431028.642501831,5080.28980606315
5,Lecale Fens,UK0030180,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0030180,aac886bc-4eee-4004-ad13-eab3dc095372,408689.350479126,8111.49704113245
6,Magheraveely Marl Loughs,UK0016621,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0016621,269ea37b-0acd-4ca1-b362-c56d9cef21a5,582385.623542786,10370.934692306
7,Aughnadarragh Lough,UK0030318,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0030318,8e767ded-32ac-49dc-8b54-69f1a8796eb8,127964.443351746,2487.92833522316
8,Ballykilbeg,UK0030319,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0030319,74bb737c-06e7-4a17-b7de-db147017f897,375853.519165039,4911.94856786215
9,Hollymount,UK0030169,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0030169,fd6ae523-0eba-4719-88bc-c2dba66c2d26,499538.364204407,7666.56405805823
10,Murlough,UK0016612,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0016612,eb4c3fba-29d7-420e-aba6-c355437ddb35,7139850.96530914,75949.0996161619
11,Rea`s Wood and Farr`s Bay,UK0030244,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0030244,d341d2fb-6338-4b82-a664-aaf490d13b49,378404.872070313,8430.71269365015
12,West Fermanagh Scarplands,UK0030300,http://jncc.defra.gov.uk/ProtectedSites/SACselection/sac.asp?EUCode=UK0030300,13813ac4-cf48-411a-9954-e01f867aeacb,22703492.0099945,78400.1211028316
